,date,gasoline
1,1/1/2013,4.67
2,2/1/2013,4.85
3,3/1/2013,4.75
4,4/1/2013,4.61
5,5/1/2013,4.64
6,6/1/2013,4.72
7,7/1/2013,4.87
8,8/1/2013,4.88
9,9/1/2013,4.86
10,10/1/2013,4.82
11,11/1/2013,4.79
12,12/1/2013,4.89
13,1/1/2014,5.01
14,2/1/2014,5.08
15,3/1/2014,5.09
16,4/1/2014,5.09
17,5/1/2014,5.06
18,6/1/2014,5.05
19,7/1/2014,5.08
20,8/1/2014,4.98
21,9/1/2014,4.93
22,10/1/2014,4.81
23,11/1/2014,4.59
24,12/1/2014,4.33
25,1/1/2015,4.13
26,2/1/2015,4.33
27,3/1/2015,4.42
28,4/1/2015,4.48
29,5/1/2015,4.69
30,6/1/2015,4.82
31,7/1/2015,4.71
32,8/1/2015,4.51
33,9/1/2015,4.51
34,10/1/2015,4.42
35,11/1/2015,4.34
36,12/1/2015,4.3
37,1/1/2016,4.24
38,2/1/2016,4.1
39,3/1/2016,4.25
40,4/1/2016,4.34
41,5/1/2016,4.51
42,6/1/2016,4.48
43,7/1/2016,4.35
44,8/1/2016,4.35
45,9/1/2016,4.65
46,10/1/2016,4.81
47,11/1/2016,4.8
48,12/1/2016,5.08
49,1/1/2017,5.25
50,2/1/2017,5.33
51,3/1/2017,5.17
52,4/1/2017,5.26
53,5/1/2017,5.12
54,6/1/2017,5.07
55,7/1/2017,5.07
56,8/1/2017,5.18
57,9/1/2017,5.27
58,10/1/2017,5.37
59,11/1/2017,5.56
60,12/1/2017,5.53
61,1/1/2018,5.62
62,2/1/2018,5.59
63,3/1/2018,5.82
64,4/1/2018,5.96
65,5/1/2018,6.18
66,6/1/2018,6.24
67,7/1/2018,6.24
68,8/1/2018,6.6
69,9/1/2018,6.89
70,10/1/2018,6.92
71,11/1/2018,6.55
72,12/1/2018,6.05
73,1/1/2019,5.96
74,2/1/2019,6.27
75,3/1/2019,6.63
76,4/1/2019,6.94
77,5/1/2019,7
78,6/1/2019,6.79
79,7/1/2019,6.93
80,8/1/2019,6.59
81,9/1/2019,6.84
82,10/1/2019,6.81
83,11/1/2019,6.81
84,12/1/2019,6.83